value,date,realtime_end,realtime_start
26057,2003-01-01,2019-04-04,2019-04-04
25573,2003-02-01,2019-04-04,2019-04-04
29161,2003-03-01,2019-04-04,2019-04-04
28261,2003-04-01,2019-04-04,2019-04-04
30907,2003-05-01,2019-04-04,2019-04-04
29756,2003-06-01,2019-04-04,2019-04-04
30600,2003-07-01,2019-04-04,2019-04-04
31844,2003-08-01,2019-04-04,2019-04-04
28559,2003-09-01,2019-04-04,2019-04-04
30255,2003-10-01,2019-04-04,2019-04-04
28869,2003-11-01,2019-04-04,2019-04-04
29884,2003-12-01,2019-04-04,2019-04-04
28642,2004-01-01,2019-04-04,2019-04-04
28755,2004-02-01,2019-04-04,2019-04-04
31133,2004-03-01,2019-04-04,2019-04-04
30866,2004-04-01,2019-04-04,2019-04-04
32155,2004-05-01,2019-04-04,2019-04-04
31380,2004-06-01,2019-04-04,2019-04-04
33125,2004-07-01,2019-04-04,2019-04-04
32184,2004-08-01,2019-04-04,2019-04-04
30550,2004-09-01,2019-04-04,2019-04-04
32258,2004-10-01,2019-04-04,2019-04-04
29981,2004-11-01,2019-04-04,2019-04-04
32528,2004-12-01,2019-04-04,2019-04-04
29792,2005-01-01,2019-04-04,2019-04-04
29742,2005-02-01,2019-04-04,2019-04-04
32757,2005-03-01,2019-04-04,2019-04-04
33578,2005-04-01,2019-04-04,2019-04-04
34056,2005-05-01,2019-04-04,2019-04-04
33570,2005-06-01,2019-04-04,2019-04-04
34940,2005-07-01,2019-04-04,2019-04-04
34292,2005-08-01,2019-04-04,2019-04-04
32850,2005-09-01,2019-04-04,2019-04-04
33921,2005-10-01,2019-04-04,2019-04-04
32083,2005-11-01,2019-04-04,2019-04-04
34882,2005-12-01,2019-04-04,2019-04-04
32394,2006-01-01,2019-04-04,2019-04-04
31634,2006-02-01,2019-04-04,2019-04-04
35840,2006-03-01,2019-04-04,2019-04-04
35141,2006-04-01,2019-04-04,2019-04-04
36167,2006-05-01,2019-04-04,2019-04-04
35771,2006-06-01,2019-04-04,2019-04-04
36298,2006-07-01,2019-04-04,2019-04-04
36640,2006-08-01,2019-04-04,2019-04-04
35439,2006-09-01,2019-04-04,2019-04-04
35820,2006-10-01,2019-04-04,2019-04-04
33839,2006-11-01,2019-04-04,2019-04-04
37803,2006-12-01,2019-04-04,2019-04-04
33593,2007-01-01,2019-04-04,2019-04-04
33097,2007-02-01,2019-04-04,2019-04-04
38225,2007-03-01,2019-04-04,2019-04-04
36554,2007-04-01,2019-04-04,2019-04-04
38311,2007-05-01,2019-04-04,2019-04-04
38450,2007-06-01,2019-04-04,2019-04-04
38539,2007-07-01,2019-04-04,2019-04-04
38825,2007-08-01,2019-04-04,2019-04-04
36791,2007-09-01,2019-04-04,2019-04-04
37608,2007-10-01,2019-04-04,2019-04-04
35954,2007-11-01,2019-04-04,2019-04-04
38604,2007-12-01,2019-04-04,2019-04-04
35063,2008-01-01,2019-04-04,2019-04-04
35722,2008-02-01,2019-04-04,2019-04-04
38491,2008-03-01,2019-04-04,2019-04-04
37918,2008-04-01,2019-04-04,2019-04-04
40679,2008-05-01,2019-04-04,2019-04-04
38716,2008-06-01,2019-04-04,2019-04-04
39568,2008-07-01,2019-04-04,2019-04-04
40419,2008-08-01,2019-04-04,2019-04-04
37234,2008-09-01,2019-04-04,2019-04-04
38425,2008-10-01,2019-04-04,2019-04-04
36307,2008-11-01,2019-04-04,2019-04-04
37723,2008-12-01,2019-04-04,2019-04-04
36190,2009-01-01,2019-04-04,2019-04-04
34947,2009-02-01,2019-04-04,2019-04-04
38458,2009-03-01,2019-04-04,2019-04-04
37813,2009-04-01,2019-04-04,2019-04-04
40247,2009-05-01,2019-04-04,2019-04-04
38355,2009-06-01,2019-04-04,2019-04-04
