value,date,realtime_end,realtime_start
15441,2003-01-01,2019-04-04,2019-04-04
15534,2003-02-01,2019-04-04,2019-04-04
15677,2003-03-01,2019-04-04,2019-04-04
15705,2003-04-01,2019-04-04,2019-04-04
15791,2003-05-01,2019-04-04,2019-04-04
15934,2003-06-01,2019-04-04,2019-04-04
16182,2003-07-01,2019-04-04,2019-04-04
16345,2003-08-01,2019-04-04,2019-04-04
16339,2003-09-01,2019-04-04,2019-04-04
16434,2003-10-01,2019-04-04,2019-04-04
16500,2003-11-01,2019-04-04,2019-04-04
16648,2003-12-01,2019-04-04,2019-04-04
16287,2004-01-01,2019-04-04,2019-04-04
16133,2004-02-01,2019-04-04,2019-04-04
16526,2004-03-01,2019-04-04,2019-04-04
16476,2004-04-01,2019-04-04,2019-04-04
16462,2004-05-01,2019-04-04,2019-04-04
16570,2004-06-01,2019-04-04,2019-04-04
16554,2004-07-01,2019-04-04,2019-04-04
16610,2004-08-01,2019-04-04,2019-04-04
16635,2004-09-01,2019-04-04,2019-04-04
16739,2004-10-01,2019-04-04,2019-04-04
16813,2004-11-01,2019-04-04,2019-04-04
16882,2004-12-01,2019-04-04,2019-04-04
17116,2005-01-01,2019-04-04,2019-04-04
17292,2005-02-01,2019-04-04,2019-04-04
17245,2005-03-01,2019-04-04,2019-04-04
17350,2005-04-01,2019-04-04,2019-04-04
17413,2005-05-01,2019-04-04,2019-04-04
17392,2005-06-01,2019-04-04,2019-04-04
17635,2005-07-01,2019-04-04,2019-04-04
17548,2005-08-01,2019-04-04,2019-04-04
17707,2005-09-01,2019-04-04,2019-04-04
17742,2005-10-01,2019-04-04,2019-04-04
17859,2005-11-01,2019-04-04,2019-04-04
18005,2005-12-01,2019-04-04,2019-04-04
18000,2006-01-01,2019-04-04,2019-04-04
18124,2006-02-01,2019-04-04,2019-04-04
18222,2006-03-01,2019-04-04,2019-04-04
18294,2006-04-01,2019-04-04,2019-04-04
18466,2006-05-01,2019-04-04,2019-04-04
18584,2006-06-01,2019-04-04,2019-04-04
18640,2006-07-01,2019-04-04,2019-04-04
18757,2006-08-01,2019-04-04,2019-04-04
18933,2006-09-01,2019-04-04,2019-04-04
19044,2006-10-01,2019-04-04,2019-04-04
19276,2006-11-01,2019-04-04,2019-04-04
19385,2006-12-01,2019-04-04,2019-04-04
19423,2007-01-01,2019-04-04,2019-04-04
19401,2007-02-01,2019-04-04,2019-04-04
19540,2007-03-01,2019-04-04,2019-04-04
19572,2007-04-01,2019-04-04,2019-04-04
19650,2007-05-01,2019-04-04,2019-04-04
19880,2007-06-01,2019-04-04,2019-04-04
19831,2007-07-01,2019-04-04,2019-04-04
