value,date,realtime_end,realtime_start
69673,2003-01-01,2019-04-04,2019-04-04
66535,2003-02-01,2019-04-04,2019-04-04
68628,2003-03-01,2019-04-04,2019-04-04
69580,2003-04-01,2019-04-04,2019-04-04
69660,2003-05-01,2019-04-04,2019-04-04
70325,2003-06-01,2019-04-04,2019-04-04
71049,2003-07-01,2019-04-04,2019-04-04
72919,2003-08-01,2019-04-04,2019-04-04
71184,2003-09-01,2019-04-04,2019-04-04
69817,2003-10-01,2019-04-04,2019-04-04
71738,2003-11-01,2019-04-04,2019-04-04
70103,2003-12-01,2019-04-04,2019-04-04
69270,2004-01-01,2019-04-04,2019-04-04
71093,2004-02-01,2019-04-04,2019-04-04
72137,2004-03-01,2019-04-04,2019-04-04
69960,2004-04-01,2019-04-04,2019-04-04
72821,2004-05-01,2019-04-04,2019-04-04
68991,2004-06-01,2019-04-04,2019-04-04
71238,2004-07-01,2019-04-04,2019-04-04
71365,2004-08-01,2019-04-04,2019-04-04
74729,2004-09-01,2019-04-04,2019-04-04
73858,2004-10-01,2019-04-04,2019-04-04
73407,2004-11-01,2019-04-04,2019-04-04
75387,2004-12-01,2019-04-04,2019-04-04
72083,2005-01-01,2019-04-04,2019-04-04
73773,2005-02-01,2019-04-04,2019-04-04
74147,2005-03-01,2019-04-04,2019-04-04
73649,2005-04-01,2019-04-04,2019-04-04
73225,2005-05-01,2019-04-04,2019-04-04
79639,2005-06-01,2019-04-04,2019-04-04
81605,2005-07-01,2019-04-04,2019-04-04
73787,2005-08-01,2019-04-04,2019-04-04
70627,2005-09-01,2019-04-04,2019-04-04
67853,2005-10-01,2019-04-04,2019-04-04
73211,2005-11-01,2019-04-04,2019-04-04
73332,2005-12-01,2019-04-04,2019-04-04
76757,2006-01-01,2019-04-04,2019-04-04
74108,2006-02-01,2019-04-04,2019-04-04
74609,2006-03-01,2019-04-04,2019-04-04
74898,2006-04-01,2019-04-04,2019-04-04
74081,2006-05-01,2019-04-04,2019-04-04
75369,2006-06-01,2019-04-04,2019-04-04
75964,2006-07-01,2019-04-04,2019-04-04
75187,2006-08-01,2019-04-04,2019-04-04
74579,2006-09-01,2019-04-04,2019-04-04
75447,2006-10-01,2019-04-04,2019-04-04
76064,2006-11-01,2019-04-04,2019-04-04
75438,2006-12-01,2019-04-04,2019-04-04
75399,2007-01-01,2019-04-04,2019-04-04
75841,2007-02-01,2019-04-04,2019-04-04
75472,2007-03-01,2019-04-04,2019-04-04
76205,2007-04-01,2019-04-04,2019-04-04
77186,2007-05-01,2019-04-04,2019-04-04
74794,2007-06-01,2019-04-04,2019-04-04
74932,2007-07-01,2019-04-04,2019-04-04
76549,2007-08-01,2019-04-04,2019-04-04
77176,2007-09-01,2019-04-04,2019-04-04
77617,2007-10-01,2019-04-04,2019-04-04
75921,2007-11-01,2019-04-04,2019-04-04
73345,2007-12-01,2019-04-04,2019-04-04
73834,2008-01-01,2019-04-04,2019-04-04
72206,2008-02-01,2019-04-04,2019-04-04
71774,2008-03-01,2019-04-04,2019-04-04
70052,2008-04-01,2019-04-04,2019-04-04
69143,2008-05-01,2019-04-04,2019-04-04
67161,2008-06-01,2019-04-04,2019-04-04
64397,2008-07-01,2019-04-04,2019-04-04
64985,2008-08-01,2019-04-04,2019-04-04
62549,2008-09-01,2019-04-04,2019-04-04
56599,2008-10-01,2019-04-04,2019-04-04
54984,2008-11-01,2019-04-04,2019-04-04
54123,2008-12-01,2019-04-04,2019-04-04
55790,2009-01-01,2019-04-04,2019-04-04
54188,2009-02-01,2019-04-04,2019-04-04
53100,2009-03-01,2019-04-04,2019-04-04
53557,2009-04-01,2019-04-04,2019-04-04
54089,2009-05-01,2019-04-04,2019-04-04
56611,2009-06-01,2019-04-04,2019-04-04
57748,2009-07-01,2019-04-04,2019-04-04
62263,2009-08-01,2019-04-04,2019-04-04
53534,2009-09-01,2019-04-04,2019-04-04
56469,2009-10-01,2019-04-04,2019-04-04
57355,2009-11-01,2019-04-04,2019-04-04
57079,2009-12-01,2019-04-04,2019-04-04
56920,2010-01-01,2019-04-04,2019-04-04
55856,2010-02-01,2019-04-04,2019-04-04
60953,2010-03-01,2019-04-04,2019-04-04
61823,2010-04-01,2019-04-04,2019-04-04
61617,2010-05-01,2019-04-04,2019-04-04
61478,2010-06-01,2019-04-04,2019-04-04
62510,2010-07-01,2019-04-04,2019-04-04
62551,2010-08-01,2019-04-04,2019-04-04
63136,2010-09-01,2019-04-04,2019-04-04
64805,2010-10-01,2019-04-04,2019-04-04
65498,2010-11-01,2019-04-04,2019-04-04
65244,2010-12-01,2019-04-04,2019-04-04
66286,2011-01-01,2019-04-04,2019-04-04
67320,2011-02-01,2019-04-04,2019-04-04
67587,2011-03-01,2019-04-04,2019-04-04
66876,2011-04-01,2019-04-04,2019-04-04
65855,2011-05-01,2019-04-04,2019-04-04
66654,2011-06-01,2019-04-04,2019-04-04
66429,2011-07-01,2019-04-04,2019-04-04
65792,2011-08-01,2019-04-04,2019-04-04
68823,2011-09-01,2019-04-04,2019-04-04
69812,2011-10-01,2019-04-04,2019-04-04
70293,2011-11-01,2019-04-04,2019-04-04
71614,2011-12-01,2019-04-04,2019-04-04
71646,2012-01-01,2019-04-04,2019-04-04
72589,2012-02-01,2019-04-04,2019-04-04
72775,2012-03-01,2019-04-04,2019-04-04
72871,2012-04-01,2019-04-04,2019-04-04
