value,date,realtime_end,realtime_start
7439,2003-01-01,2019-04-04,2019-04-04
7354,2003-02-01,2019-04-04,2019-04-04
7364,2003-03-01,2019-04-04,2019-04-04
7440,2003-04-01,2019-04-04,2019-04-04
7563,2003-05-01,2019-04-04,2019-04-04
7650,2003-06-01,2019-04-04,2019-04-04
7731,2003-07-01,2019-04-04,2019-04-04
7914,2003-08-01,2019-04-04,2019-04-04
7909,2003-09-01,2019-04-04,2019-04-04
7984,2003-10-01,2019-04-04,2019-04-04
8030,2003-11-01,2019-04-04,2019-04-04
8127,2003-12-01,2019-04-04,2019-04-04
8104,2004-01-01,2019-04-04,2019-04-04
8080,2004-02-01,2019-04-04,2019-04-04
8117,2004-03-01,2019-04-04,2019-04-04
8218,2004-04-01,2019-04-04,2019-04-04
8241,2004-05-01,2019-04-04,2019-04-04
8297,2004-06-01,2019-04-04,2019-04-04
8337,2004-07-01,2019-04-04,2019-04-04
8335,2004-08-01,2019-04-04,2019-04-04
8422,2004-09-01,2019-04-04,2019-04-04
8494,2004-10-01,2019-04-04,2019-04-04
8479,2004-11-01,2019-04-04,2019-04-04
8513,2004-12-01,2019-04-04,2019-04-04
8555,2005-01-01,2019-04-04,2019-04-04
8765,2005-02-01,2019-04-04,2019-04-04
8784,2005-03-01,2019-04-04,2019-04-04
8820,2005-04-01,2019-04-04,2019-04-04
8775,2005-05-01,2019-04-04,2019-04-04
8828,2005-06-01,2019-04-04,2019-04-04
8877,2005-07-01,2019-04-04,2019-04-04
8868,2005-08-01,2019-04-04,2019-04-04
8955,2005-09-01,2019-04-04,2019-04-04
9047,2005-10-01,2019-04-04,2019-04-04
8965,2005-11-01,2019-04-04,2019-04-04
8889,2005-12-01,2019-04-04,2019-04-04
9395,2006-01-01,2019-04-04,2019-04-04
9101,2006-02-01,2019-04-04,2019-04-04
9185,2006-03-01,2019-04-04,2019-04-04
9165,2006-04-01,2019-04-04,2019-04-04
9132,2006-05-01,2019-04-04,2019-04-04
9130,2006-06-01,2019-04-04,2019-04-04
9126,2006-07-01,2019-04-04,2019-04-04
9124,2006-08-01,2019-04-04,2019-04-04
9158,2006-09-01,2019-04-04,2019-04-04
8953,2006-10-01,2019-04-04,2019-04-04
9158,2006-11-01,2019-04-04,2019-04-04
9478,2006-12-01,2019-04-04,2019-04-04
9229,2007-01-01,2019-04-04,2019-04-04
9123,2007-02-01,2019-04-04,2019-04-04
9026,2007-03-01,2019-04-04,2019-04-04
9008,2007-04-01,2019-04-04,2019-04-04
9090,2007-05-01,2019-04-04,2019-04-04
9023,2007-06-01,2019-04-04,2019-04-04
9088,2007-07-01,2019-04-04,2019-04-04
9274,2007-08-01,2019-04-04,2019-04-04
9174,2007-09-01,2019-04-04,2019-04-04
9293,2007-10-01,2019-04-04,2019-04-04
9562,2007-11-01,2019-04-04,2019-04-04
9368,2007-12-01,2019-04-04,2019-04-04
9175,2008-01-01,2019-04-04,2019-04-04
9196,2008-02-01,2019-04-04,2019-04-04
9171,2008-03-01,2019-04-04,2019-04-04
9286,2008-04-01,2019-04-04,2019-04-04
9530,2008-05-01,2019-04-04,2019-04-04
9305,2008-06-01,2019-04-04,2019-04-04
9329,2008-07-01,2019-04-04,2019-04-04
9201,2008-08-01,2019-04-04,2019-04-04
8814,2008-09-01,2019-04-04,2019-04-04
8732,2008-10-01,2019-04-04,2019-04-04
8737,2008-11-01,2019-04-04,2019-04-04
8351,2008-12-01,2019-04-04,2019-04-04
8884,2009-01-01,2019-04-04,2019-04-04
8844,2009-02-01,2019-04-04,2019-04-04
8099,2009-03-01,2019-04-04,2019-04-04
8049,2009-04-01,2019-04-04,2019-04-04
8026,2009-05-01,2019-04-04,2019-04-04
8039,2009-06-01,2019-04-04,2019-04-04
7965,2009-07-01,2019-04-04,2019-04-04
