value,date,realtime_end,realtime_start
10804,2003-01-01,2019-04-04,2019-04-04
11662,2003-02-01,2019-04-04,2019-04-04
13452,2003-03-01,2019-04-04,2019-04-04
13691,2003-04-01,2019-04-04,2019-04-04
14730,2003-05-01,2019-04-04,2019-04-04
13496,2003-06-01,2019-04-04,2019-04-04
13854,2003-07-01,2019-04-04,2019-04-04
15522,2003-08-01,2019-04-04,2019-04-04
13567,2003-09-01,2019-04-04,2019-04-04
14601,2003-10-01,2019-04-04,2019-04-04
16555,2003-11-01,2019-04-04,2019-04-04
26760,2003-12-01,2019-04-04,2019-04-04
11790,2004-01-01,2019-04-04,2019-04-04
13344,2004-02-01,2019-04-04,2019-04-04
14760,2004-03-01,2019-04-04,2019-04-04
15058,2004-04-01,2019-04-04,2019-04-04
15379,2004-05-01,2019-04-04,2019-04-04
14237,2004-06-01,2019-04-04,2019-04-04
14667,2004-07-01,2019-04-04,2019-04-04
15588,2004-08-01,2019-04-04,2019-04-04
14224,2004-09-01,2019-04-04,2019-04-04
15570,2004-10-01,2019-04-04,2019-04-04
17230,2004-11-01,2019-04-04,2019-04-04
28406,2004-12-01,2019-04-04,2019-04-04
12046,2005-01-01,2019-04-04,2019-04-04
13878,2005-02-01,2019-04-04,2019-04-04
15727,2005-03-01,2019-04-04,2019-04-04
15708,2005-04-01,2019-04-04,2019-04-04
15989,2005-05-01,2019-04-04,2019-04-04
15559,2005-06-01,2019-04-04,2019-04-04
15218,2005-07-01,2019-04-04,2019-04-04
16697,2005-08-01,2019-04-04,2019-04-04
14960,2005-09-01,2019-04-04,2019-04-04
16509,2005-10-01,2019-04-04,2019-04-04
18402,2005-11-01,2019-04-04,2019-04-04
30276,2005-12-01,2019-04-04,2019-04-04
12893,2006-01-01,2019-04-04,2019-04-04
14474,2006-02-01,2019-04-04,2019-04-04
16386,2006-03-01,2019-04-04,2019-04-04
16848,2006-04-01,2019-04-04,2019-04-04
17103,2006-05-01,2019-04-04,2019-04-04
16505,2006-06-01,2019-04-04,2019-04-04
16275,2006-07-01,2019-04-04,2019-04-04
17832,2006-08-01,2019-04-04,2019-04-04
16767,2006-09-01,2019-04-04,2019-04-04
17253,2006-10-01,2019-04-04,2019-04-04
19391,2006-11-01,2019-04-04,2019-04-04
31462,2006-12-01,2019-04-04,2019-04-04
13927,2007-01-01,2019-04-04,2019-04-04
15077,2007-02-01,2019-04-04,2019-04-04
18045,2007-03-01,2019-04-04,2019-04-04
17096,2007-04-01,2019-04-04,2019-04-04
18474,2007-05-01,2019-04-04,2019-04-04
17289,2007-06-01,2019-04-04,2019-04-04
16883,2007-07-01,2019-04-04,2019-04-04
18850,2007-08-01,2019-04-04,2019-04-04
16765,2007-09-01,2019-04-04,2019-04-04
17614,2007-10-01,2019-04-04,2019-04-04
20550,2007-11-01,2019-04-04,2019-04-04
30635,2007-12-01,2019-04-04,2019-04-04
14173,2008-01-01,2019-04-04,2019-04-04
15876,2008-02-01,2019-04-04,2019-04-04
17770,2008-03-01,2019-04-04,2019-04-04
17103,2008-04-01,2019-04-04,2019-04-04
19084,2008-05-01,2019-04-04,2019-04-04
17007,2008-06-01,2019-04-04,2019-04-04
17369,2008-07-01,2019-04-04,2019-04-04
19041,2008-08-01,2019-04-04,2019-04-04
15882,2008-09-01,2019-04-04,2019-04-04
16796,2008-10-01,2019-04-04,2019-04-04
18756,2008-11-01,2019-04-04,2019-04-04
26726,2008-12-01,2019-04-04,2019-04-04
13387,2009-01-01,2019-04-04,2019-04-04
14684,2009-02-01,2019-04-04,2019-04-04
15563,2009-03-01,2019-04-04,2019-04-04
16337,2009-04-01,2019-04-04,2019-04-04
17264,2009-05-01,2019-04-04,2019-04-04
15434,2009-06-01,2019-04-04,2019-04-04
16007,2009-07-01,2019-04-04,2019-04-04
17656,2009-08-01,2019-04-04,2019-04-04
15630,2009-09-01,2019-04-04,2019-04-04
17053,2009-10-01,2019-04-04,2019-04-04
18332,2009-11-01,2019-04-04,2019-04-04
27128,2009-12-01,2019-04-04,2019-04-04
13216,2010-01-01,2019-04-04,2019-04-04
14816,2010-02-01,2019-04-04,2019-04-04
17390,2010-03-01,2019-04-04,2019-04-04
17042,2010-04-01,2019-04-04,2019-04-04
17727,2010-05-01,2019-04-04,2019-04-04
16138,2010-06-01,2019-04-04,2019-04-04
16842,2010-07-01,2019-04-04,2019-04-04
17923,2010-08-01,2019-04-04,2019-04-04
16232,2010-09-01,2019-04-04,2019-04-04
17412,2010-10-01,2019-04-04,2019-04-04
20003,2010-11-01,2019-04-04,2019-04-04
28545,2010-12-01,2019-04-04,2019-04-04
13703,2011-01-01,2019-04-04,2019-04-04
15931,2011-02-01,2019-04-04,2019-04-04
18252,2011-03-01,2019-04-04,2019-04-04
18647,2011-04-01,2019-04-04,2019-04-04
18771,2011-05-01,2019-04-04,2019-04-04
17783,2011-06-01,2019-04-04,2019-04-04
17937,2011-07-01,2019-04-04,2019-04-04
19263,2011-08-01,2019-04-04,2019-04-04
17999,2011-09-01,2019-04-04,2019-04-04
18255,2011-10-01,2019-04-04,2019-04-04
20957,2011-11-01,2019-04-04,2019-04-04
31108,2011-12-01,2019-04-04,2019-04-04
14358,2012-01-01,2019-04-04,2019-04-04
17931,2012-02-01,2019-04-04,2019-04-04
20162,2012-03-01,2019-04-04,2019-04-04
18601,2012-04-01,2019-04-04,2019-04-04
19952,2012-05-01,2019-04-04,2019-04-04
18717,2012-06-01,2019-04-04,2019-04-04
18266,2012-07-01,2019-04-04,2019-04-04
20750,2012-08-01,2019-04-04,2019-04-04
18391,2012-09-01,2019-04-04,2019-04-04
18845,2012-10-01,2019-04-04,2019-04-04
22016,2012-11-01,2019-04-04,2019-04-04
31504,2012-12-01,2019-04-04,2019-04-04
15155,2013-01-01,2019-04-04,2019-04-04
17382,2013-02-01,2019-04-04,2019-04-04
20575,2013-03-01,2019-04-04,2019-04-04
19176,2013-04-01,2019-04-04,2019-04-04
20780,2013-05-01,2019-04-04,2019-04-04
18939,2013-06-01,2019-04-04,2019-04-04
19176,2013-07-01,2019-04-04,2019-04-04
21558,2013-08-01,2019-04-04,2019-04-04
18111,2013-09-01,2019-04-04,2019-04-04
19855,2013-10-01,2019-04-04,2019-04-04
22437,2013-11-01,2019-04-04,2019-04-04
31578,2013-12-01,2019-04-04,2019-04-04
15179,2014-01-01,2019-04-04,2019-04-04
17507,2014-02-01,2019-04-04,2019-04-04
20070,2014-03-01,2019-04-04,2019-04-04
20322,2014-04-01,2019-04-04,2019-04-04
21568,2014-05-01,2019-04-04,2019-04-04
18947,2014-06-01,2019-04-04,2019-04-04
19828,2014-07-01,2019-04-04,2019-04-04
21993,2014-08-01,2019-04-04,2019-04-04
18646,2014-09-01,2019-04-04,2019-04-04
20220,2014-10-01,2019-04-04,2019-04-04
23491,2014-11-01,2019-04-04,2019-04-04
32638,2014-12-01,2019-04-04,2019-04-04
15764,2015-01-01,2019-04-04,2019-04-04
17980,2015-02-01,2019-04-04,2019-04-04
20752,2015-03-01,2019-04-04,2019-04-04
20389,2015-04-01,2019-04-04,2019-04-04
22145,2015-05-01,2019-04-04,2019-04-04
19667,2015-06-01,2019-04-04,2019-04-04
20564,2015-07-01,2019-04-04,2019-04-04
22314,2015-08-01,2019-04-04,2019-04-04
