value,date,realtime_end,realtime_start
21336,2001-09-01,2019-04-04,2019-04-04
20033,2001-10-01,2019-04-04,2019-04-04
19245,2001-11-01,2019-04-04,2019-04-04
18950,2001-12-01,2019-04-04,2019-04-04
19130,2002-01-01,2019-04-04,2019-04-04
19068,2002-02-01,2019-04-04,2019-04-04
19813,2002-03-01,2019-04-04,2019-04-04
20856,2002-04-01,2019-04-04,2019-04-04
20930,2002-05-01,2019-04-04,2019-04-04
20733,2002-06-01,2019-04-04,2019-04-04
21438,2002-07-01,2019-04-04,2019-04-04
21182,2002-08-01,2019-04-04,2019-04-04
21272,2002-09-01,2019-04-04,2019-04-04
21659,2002-10-01,2019-04-04,2019-04-04
22009,2002-11-01,2019-04-04,2019-04-04
22464,2002-12-01,2019-04-04,2019-04-04
23073,2003-01-01,2019-04-04,2019-04-04
23885,2003-02-01,2019-04-04,2019-04-04
23968,2003-03-01,2019-04-04,2019-04-04
22581,2003-04-01,2019-04-04,2019-04-04
21810,2003-05-01,2019-04-04,2019-04-04
21777,2003-06-01,2019-04-04,2019-04-04
22196,2003-07-01,2019-04-04,2019-04-04
23073,2003-08-01,2019-04-04,2019-04-04
23214,2003-09-01,2019-04-04,2019-04-04
22714,2003-10-01,2019-04-04,2019-04-04
23472,2003-11-01,2019-04-04,2019-04-04
23994,2003-12-01,2019-04-04,2019-04-04
24889,2004-01-01,2019-04-04,2019-04-04
25256,2004-02-01,2019-04-04,2019-04-04
25679,2004-03-01,2019-04-04,2019-04-04
25518,2004-04-01,2019-04-04,2019-04-04
27011,2004-05-01,2019-04-04,2019-04-04
27050,2004-06-01,2019-04-04,2019-04-04
26745,2004-07-01,2019-04-04,2019-04-04
26552,2004-08-01,2019-04-04,2019-04-04
27161,2004-09-01,2019-04-04,2019-04-04
28656,2004-10-01,2019-04-04,2019-04-04
29349,2004-11-01,2019-04-04,2019-04-04
29046,2004-12-01,2019-04-04,2019-04-04
28375,2005-01-01,2019-04-04,2019-04-04
29015,2005-02-01,2019-04-04,2019-04-04
29498,2005-03-01,2019-04-04,2019-04-04
30009,2005-04-01,2019-04-04,2019-04-04
29140,2005-05-01,2019-04-04,2019-04-04
29889,2005-06-01,2019-04-04,2019-04-04
30976,2005-07-01,2019-04-04,2019-04-04
33399,2005-08-01,2019-04-04,2019-04-04
36116,2005-09-01,2019-04-04,2019-04-04
35911,2005-10-01,2019-04-04,2019-04-04
33185,2005-11-01,2019-04-04,2019-04-04
33154,2005-12-01,2019-04-04,2019-04-04
34298,2006-01-01,2019-04-04,2019-04-04
34174,2006-02-01,2019-04-04,2019-04-04
34195,2006-03-01,2019-04-04,2019-04-04
35646,2006-04-01,2019-04-04,2019-04-04
36159,2006-05-01,2019-04-04,2019-04-04
36228,2006-06-01,2019-04-04,2019-04-04
36963,2006-07-01,2019-04-04,2019-04-04
37696,2006-08-01,2019-04-04,2019-04-04
34935,2006-09-01,2019-04-04,2019-04-04
32912,2006-10-01,2019-04-04,2019-04-04
33322,2006-11-01,2019-04-04,2019-04-04
34895,2006-12-01,2019-04-04,2019-04-04
34244,2007-01-01,2019-04-04,2019-04-04
34932,2007-02-01,2019-04-04,2019-04-04
35999,2007-03-01,2019-04-04,2019-04-04
36350,2007-04-01,2019-04-04,2019-04-04
37996,2007-05-01,2019-04-04,2019-04-04
37310,2007-06-01,2019-04-04,2019-04-04
36963,2007-07-01,2019-04-04,2019-04-04
37223,2007-08-01,2019-04-04,2019-04-04
38210,2007-09-01,2019-04-04,2019-04-04
39307,2007-10-01,2019-04-04,2019-04-04
41985,2007-11-01,2019-04-04,2019-04-04
41593,2007-12-01,2019-04-04,2019-04-04
42423,2008-01-01,2019-04-04,2019-04-04
42504,2008-02-01,2019-04-04,2019-04-04
43044,2008-03-01,2019-04-04,2019-04-04
42933,2008-04-01,2019-04-04,2019-04-04
44344,2008-05-01,2019-04-04,2019-04-04
46547,2008-06-01,2019-04-04,2019-04-04
46813,2008-07-01,2019-04-04,2019-04-04
45645,2008-08-01,2019-04-04,2019-04-04
45777,2008-09-01,2019-04-04,2019-04-04
40584,2008-10-01,2019-04-04,2019-04-04
31776,2008-11-01,2019-04-04,2019-04-04
27999,2008-12-01,2019-04-04,2019-04-04
28818,2009-01-01,2019-04-04,2019-04-04
29860,2009-02-01,2019-04-04,2019-04-04
28825,2009-03-01,2019-04-04,2019-04-04
28747,2009-04-01,2019-04-04,2019-04-04
30488,2009-05-01,2019-04-04,2019-04-04
33375,2009-06-01,2019-04-04,2019-04-04
33066,2009-07-01,2019-04-04,2019-04-04
34658,2009-08-01,2019-04-04,2019-04-04
34800,2009-09-01,2019-04-04,2019-04-04
34885,2009-10-01,2019-04-04,2019-04-04
36573,2009-11-01,2019-04-04,2019-04-04
37182,2009-12-01,2019-04-04,2019-04-04
37358,2010-01-01,2019-04-04,2019-04-04
36950,2010-02-01,2019-04-04,2019-04-04
37160,2010-03-01,2019-04-04,2019-04-04
37182,2010-04-01,2019-04-04,2019-04-04
36537,2010-05-01,2019-04-04,2019-04-04
35809,2010-06-01,2019-04-04,2019-04-04
35731,2010-07-01,2019-04-04,2019-04-04
36189,2010-08-01,2019-04-04,2019-04-04
37319,2010-09-01,2019-04-04,2019-04-04
38519,2010-10-01,2019-04-04,2019-04-04
39272,2010-11-01,2019-04-04,2019-04-04
41279,2010-12-01,2019-04-04,2019-04-04
41732,2011-01-01,2019-04-04,2019-04-04
42294,2011-02-01,2019-04-04,2019-04-04
43737,2011-03-01,2019-04-04,2019-04-04
44604,2011-04-01,2019-04-04,2019-04-04
45300,2011-05-01,2019-04-04,2019-04-04
44698,2011-06-01,2019-04-04,2019-04-04
44712,2011-07-01,2019-04-04,2019-04-04
45159,2011-08-01,2019-04-04,2019-04-04
45127,2011-09-01,2019-04-04,2019-04-04
44846,2011-10-01,2019-04-04,2019-04-04
45622,2011-11-01,2019-04-04,2019-04-04
45243,2011-12-01,2019-04-04,2019-04-04
45702,2012-01-01,2019-04-04,2019-04-04
47171,2012-02-01,2019-04-04,2019-04-04
47448,2012-03-01,2019-04-04,2019-04-04
46913,2012-04-01,2019-04-04,2019-04-04
45808,2012-05-01,2019-04-04,2019-04-04
43811,2012-06-01,2019-04-04,2019-04-04
43484,2012-07-01,2019-04-04,2019-04-04
46434,2012-08-01,2019-04-04,2019-04-04
46966,2012-09-01,2019-04-04,2019-04-04
48212,2012-10-01,2019-04-04,2019-04-04
46822,2012-11-01,2019-04-04,2019-04-04
45787,2012-12-01,2019-04-04,2019-04-04
45970,2013-01-01,2019-04-04,2019-04-04
48839,2013-02-01,2019-04-04,2019-04-04
47298,2013-03-01,2019-04-04,2019-04-04
45963,2013-04-01,2019-04-04,2019-04-04
45341,2013-05-01,2019-04-04,2019-04-04
45484,2013-06-01,2019-04-04,2019-04-04
45706,2013-07-01,2019-04-04,2019-04-04
45216,2013-08-01,2019-04-04,2019-04-04
45245,2013-09-01,2019-04-04,2019-04-04
44633,2013-10-01,2019-04-04,2019-04-04
44267,2013-11-01,2019-04-04,2019-04-04
46076,2013-12-01,2019-04-04,2019-04-04
46564,2014-01-01,2019-04-04,2019-04-04
46817,2014-02-01,2019-04-04,2019-04-04
46079,2014-03-01,2019-04-04,2019-04-04
46508,2014-04-01,2019-04-04,2019-04-04
46103,2014-05-01,2019-04-04,2019-04-04
45296,2014-06-01,2019-04-04,2019-04-04
45085,2014-07-01,2019-04-04,2019-04-04
45150,2014-08-01,2019-04-04,2019-04-04
44770,2014-09-01,2019-04-04,2019-04-04
43858,2014-10-01,2019-04-04,2019-04-04
42689,2014-11-01,2019-04-04,2019-04-04
39738,2014-12-01,2019-04-04,2019-04-04
35772,2015-01-01,2019-04-04,2019-04-04
36853,2015-02-01,2019-04-04,2019-04-04
37446,2015-03-01,2019-04-04,2019-04-04
36886,2015-04-01,2019-04-04,2019-04-04
