value,date,realtime_end,realtime_start
35669,2003-01-01,2019-04-04,2019-04-04
35570,2003-02-01,2019-04-04,2019-04-04
35549,2003-03-01,2019-04-04,2019-04-04
35638,2003-04-01,2019-04-04,2019-04-04
35225,2003-05-01,2019-04-04,2019-04-04
35676,2003-06-01,2019-04-04,2019-04-04
35957,2003-07-01,2019-04-04,2019-04-04
35890,2003-08-01,2019-04-04,2019-04-04
35918,2003-09-01,2019-04-04,2019-04-04
35763,2003-10-01,2019-04-04,2019-04-04
35679,2003-11-01,2019-04-04,2019-04-04
35808,2003-12-01,2019-04-04,2019-04-04
36402,2004-01-01,2019-04-04,2019-04-04
35890,2004-02-01,2019-04-04,2019-04-04
36365,2004-03-01,2019-04-04,2019-04-04
36312,2004-04-01,2019-04-04,2019-04-04
36528,2004-05-01,2019-04-04,2019-04-04
36508,2004-06-01,2019-04-04,2019-04-04
36526,2004-07-01,2019-04-04,2019-04-04
36680,2004-08-01,2019-04-04,2019-04-04
36951,2004-09-01,2019-04-04,2019-04-04
37078,2004-10-01,2019-04-04,2019-04-04
37286,2004-11-01,2019-04-04,2019-04-04
37423,2004-12-01,2019-04-04,2019-04-04
37628,2005-01-01,2019-04-04,2019-04-04
37553,2005-02-01,2019-04-04,2019-04-04
37645,2005-03-01,2019-04-04,2019-04-04
38049,2005-04-01,2019-04-04,2019-04-04
37908,2005-05-01,2019-04-04,2019-04-04
38143,2005-06-01,2019-04-04,2019-04-04
37960,2005-07-01,2019-04-04,2019-04-04
38320,2005-08-01,2019-04-04,2019-04-04
38577,2005-09-01,2019-04-04,2019-04-04
38559,2005-10-01,2019-04-04,2019-04-04
38508,2005-11-01,2019-04-04,2019-04-04
38847,2005-12-01,2019-04-04,2019-04-04
38254,2006-01-01,2019-04-04,2019-04-04
38889,2006-02-01,2019-04-04,2019-04-04
38866,2006-03-01,2019-04-04,2019-04-04
38891,2006-04-01,2019-04-04,2019-04-04
39242,2006-05-01,2019-04-04,2019-04-04
39372,2006-06-01,2019-04-04,2019-04-04
39411,2006-07-01,2019-04-04,2019-04-04
39705,2006-08-01,2019-04-04,2019-04-04
39356,2006-09-01,2019-04-04,2019-04-04
40002,2006-10-01,2019-04-04,2019-04-04
39989,2006-11-01,2019-04-04,2019-04-04
40153,2006-12-01,2019-04-04,2019-04-04
40253,2007-01-01,2019-04-04,2019-04-04
40646,2007-02-01,2019-04-04,2019-04-04
40572,2007-03-01,2019-04-04,2019-04-04
40416,2007-04-01,2019-04-04,2019-04-04
40740,2007-05-01,2019-04-04,2019-04-04
40870,2007-06-01,2019-04-04,2019-04-04
41044,2007-07-01,2019-04-04,2019-04-04
40954,2007-08-01,2019-04-04,2019-04-04
41095,2007-09-01,2019-04-04,2019-04-04
41379,2007-10-01,2019-04-04,2019-04-04
41868,2007-11-01,2019-04-04,2019-04-04
41998,2007-12-01,2019-04-04,2019-04-04
42159,2008-01-01,2019-04-04,2019-04-04
42016,2008-02-01,2019-04-04,2019-04-04
42168,2008-03-01,2019-04-04,2019-04-04
42584,2008-04-01,2019-04-04,2019-04-04
42549,2008-05-01,2019-04-04,2019-04-04
42683,2008-06-01,2019-04-04,2019-04-04
42899,2008-07-01,2019-04-04,2019-04-04
43063,2008-08-01,2019-04-04,2019-04-04
42834,2008-09-01,2019-04-04,2019-04-04
42768,2008-10-01,2019-04-04,2019-04-04
42496,2008-11-01,2019-04-04,2019-04-04
42136,2008-12-01,2019-04-04,2019-04-04
42771,2009-01-01,2019-04-04,2019-04-04
42101,2009-02-01,2019-04-04,2019-04-04
42069,2009-03-01,2019-04-04,2019-04-04
42288,2009-04-01,2019-04-04,2019-04-04
42300,2009-05-01,2019-04-04,2019-04-04
42530,2009-06-01,2019-04-04,2019-04-04
42480,2009-07-01,2019-04-04,2019-04-04
42401,2009-08-01,2019-04-04,2019-04-04
42691,2009-09-01,2019-04-04,2019-04-04
42763,2009-10-01,2019-04-04,2019-04-04
42808,2009-11-01,2019-04-04,2019-04-04
43192,2009-12-01,2019-04-04,2019-04-04
43028,2010-01-01,2019-04-04,2019-04-04
43735,2010-02-01,2019-04-04,2019-04-04
43304,2010-03-01,2019-04-04,2019-04-04
43186,2010-04-01,2019-04-04,2019-04-04
43266,2010-05-01,2019-04-04,2019-04-04
42963,2010-06-01,2019-04-04,2019-04-04
43011,2010-07-01,2019-04-04,2019-04-04
43258,2010-08-01,2019-04-04,2019-04-04
43601,2010-09-01,2019-04-04,2019-04-04
43493,2010-10-01,2019-04-04,2019-04-04
44077,2010-11-01,2019-04-04,2019-04-04
44184,2010-12-01,2019-04-04,2019-04-04
44684,2011-01-01,2019-04-04,2019-04-04
44961,2011-02-01,2019-04-04,2019-04-04
45068,2011-03-01,2019-04-04,2019-04-04
45723,2011-04-01,2019-04-04,2019-04-04
45365,2011-05-01,2019-04-04,2019-04-04
45791,2011-06-01,2019-04-04,2019-04-04
45797,2011-07-01,2019-04-04,2019-04-04
46034,2011-08-01,2019-04-04,2019-04-04
45840,2011-09-01,2019-04-04,2019-04-04
46047,2011-10-01,2019-04-04,2019-04-04
46185,2011-11-01,2019-04-04,2019-04-04
46035,2011-12-01,2019-04-04,2019-04-04
46248,2012-01-01,2019-04-04,2019-04-04
46353,2012-02-01,2019-04-04,2019-04-04
46753,2012-03-01,2019-04-04,2019-04-04
46927,2012-04-01,2019-04-04,2019-04-04
46873,2012-05-01,2019-04-04,2019-04-04
46842,2012-06-01,2019-04-04,2019-04-04
46956,2012-07-01,2019-04-04,2019-04-04
47013,2012-08-01,2019-04-04,2019-04-04
47131,2012-09-01,2019-04-04,2019-04-04
47449,2012-10-01,2019-04-04,2019-04-04
47310,2012-11-01,2019-04-04,2019-04-04
47097,2012-12-01,2019-04-04,2019-04-04
47266,2013-01-01,2019-04-04,2019-04-04
47693,2013-02-01,2019-04-04,2019-04-04
47531,2013-03-01,2019-04-04,2019-04-04
47294,2013-04-01,2019-04-04,2019-04-04
47682,2013-05-01,2019-04-04,2019-04-04
47711,2013-06-01,2019-04-04,2019-04-04
48013,2013-07-01,2019-04-04,2019-04-04
48038,2013-08-01,2019-04-04,2019-04-04
48190,2013-09-01,2019-04-04,2019-04-04
48339,2013-10-01,2019-04-04,2019-04-04
48289,2013-11-01,2019-04-04,2019-04-04
48922,2013-12-01,2019-04-04,2019-04-04
49018,2014-01-01,2019-04-04,2019-04-04
49099,2014-02-01,2019-04-04,2019-04-04
49131,2014-03-01,2019-04-04,2019-04-04
49469,2014-04-01,2019-04-04,2019-04-04
49594,2014-05-01,2019-04-04,2019-04-04
50008,2014-06-01,2019-04-04,2019-04-04
50219,2014-07-01,2019-04-04,2019-04-04
50342,2014-08-01,2019-04-04,2019-04-04
50545,2014-09-01,2019-04-04,2019-04-04
50691,2014-10-01,2019-04-04,2019-04-04
50743,2014-11-01,2019-04-04,2019-04-04
50947,2014-12-01,2019-04-04,2019-04-04
50969,2015-01-01,2019-04-04,2019-04-04
51039,2015-02-01,2019-04-04,2019-04-04
50984,2015-03-01,2019-04-04,2019-04-04
50897,2015-04-01,2019-04-04,2019-04-04
50952,2015-05-01,2019-04-04,2019-04-04
51121,2015-06-01,2019-04-04,2019-04-04
51302,2015-07-01,2019-04-04,2019-04-04
51277,2015-08-01,2019-04-04,2019-04-04
51194,2015-09-01,2019-04-04,2019-04-04
51034,2015-10-01,2019-04-04,2019-04-04
51435,2015-11-01,2019-04-04,2019-04-04
51252,2015-12-01,2019-04-04,2019-04-04
51576,2016-01-01,2019-04-04,2019-04-04
51484,2016-02-01,2019-04-04,2019-04-04
51095,2016-03-01,2019-04-04,2019-04-04
51799,2016-04-01,2019-04-04,2019-04-04
51957,2016-05-01,2019-04-04,2019-04-04
52134,2016-06-01,2019-04-04,2019-04-04
51887,2016-07-01,2019-04-04,2019-04-04
52053,2016-08-01,2019-04-04,2019-04-04
52156,2016-09-01,2019-04-04,2019-04-04
52417,2016-10-01,2019-04-04,2019-04-04
52368,2016-11-01,2019-04-04,2019-04-04
52465,2016-12-01,2019-04-04,2019-04-04
52544,2017-01-01,2019-04-04,2019-04-04
52653,2017-02-01,2019-04-04,2019-04-04
52993,2017-03-01,2019-04-04,2019-04-04
52989,2017-04-01,2019-04-04,2019-04-04
53047,2017-05-01,2019-04-04,2019-04-04
52941,2017-06-01,2019-04-04,2019-04-04
52959,2017-07-01,2019-04-04,2019-04-04
53184,2017-08-01,2019-04-04,2019-04-04
53725,2017-09-01,2019-04-04,2019-04-04
53943,2017-10-01,2019-04-04,2019-04-04
54029,2017-11-01,2019-04-04,2019-04-04
54728,2017-12-01,2019-04-04,2019-04-04
54325,2018-01-01,2019-04-04,2019-04-04
54577,2018-02-01,2019-04-04,2019-04-04
54704,2018-03-01,2019-04-04,2019-04-04
55038,2018-04-01,2019-04-04,2019-04-04
55106,2018-05-01,2019-04-04,2019-04-04
55029,2018-06-01,2019-04-04,2019-04-04
55429,2018-07-01,2019-04-04,2019-04-04
55343,2018-08-01,2019-04-04,2019-04-04
55341,2018-09-01,2019-04-04,2019-04-04
55563,2018-10-01,2019-04-04,2019-04-04
55652,2018-11-01,2019-04-04,2019-04-04
55592,2018-12-01,2019-04-04,2019-04-04
56414,2019-01-01,2019-04-04,2019-04-04
55744,2019-02-01,2019-04-04,2019-04-04
