value,date,realtime_end,realtime_start
5794,2003-01-01,2019-04-04,2019-04-04
5576,2003-02-01,2019-04-04,2019-04-04
5660,2003-03-01,2019-04-04,2019-04-04
5709,2003-04-01,2019-04-04,2019-04-04
5748,2003-05-01,2019-04-04,2019-04-04
5908,2003-06-01,2019-04-04,2019-04-04
5808,2003-07-01,2019-04-04,2019-04-04
6132,2003-08-01,2019-04-04,2019-04-04
5954,2003-09-01,2019-04-04,2019-04-04
5841,2003-10-01,2019-04-04,2019-04-04
6011,2003-11-01,2019-04-04,2019-04-04
6013,2003-12-01,2019-04-04,2019-04-04
6087,2004-01-01,2019-04-04,2019-04-04
6093,2004-02-01,2019-04-04,2019-04-04
6067,2004-03-01,2019-04-04,2019-04-04
5941,2004-04-01,2019-04-04,2019-04-04
5985,2004-05-01,2019-04-04,2019-04-04
6017,2004-06-01,2019-04-04,2019-04-04
6124,2004-07-01,2019-04-04,2019-04-04
6192,2004-08-01,2019-04-04,2019-04-04
6111,2004-09-01,2019-04-04,2019-04-04
6094,2004-10-01,2019-04-04,2019-04-04
6140,2004-11-01,2019-04-04,2019-04-04
6122,2004-12-01,2019-04-04,2019-04-04
6192,2005-01-01,2019-04-04,2019-04-04
6269,2005-02-01,2019-04-04,2019-04-04
6137,2005-03-01,2019-04-04,2019-04-04
6318,2005-04-01,2019-04-04,2019-04-04
6232,2005-05-01,2019-04-04,2019-04-04
6135,2005-06-01,2019-04-04,2019-04-04
6239,2005-07-01,2019-04-04,2019-04-04
6274,2005-08-01,2019-04-04,2019-04-04
6155,2005-09-01,2019-04-04,2019-04-04
6377,2005-10-01,2019-04-04,2019-04-04
6287,2005-11-01,2019-04-04,2019-04-04
6462,2005-12-01,2019-04-04,2019-04-04
6735,2006-01-01,2019-04-04,2019-04-04
6629,2006-02-01,2019-04-04,2019-04-04
6610,2006-03-01,2019-04-04,2019-04-04
6580,2006-04-01,2019-04-04,2019-04-04
6503,2006-05-01,2019-04-04,2019-04-04
6524,2006-06-01,2019-04-04,2019-04-04
6461,2006-07-01,2019-04-04,2019-04-04
6412,2006-08-01,2019-04-04,2019-04-04
6690,2006-09-01,2019-04-04,2019-04-04
6589,2006-10-01,2019-04-04,2019-04-04
6461,2006-11-01,2019-04-04,2019-04-04
6566,2006-12-01,2019-04-04,2019-04-04
6489,2007-01-01,2019-04-04,2019-04-04
6494,2007-02-01,2019-04-04,2019-04-04
6779,2007-03-01,2019-04-04,2019-04-04
6640,2007-04-01,2019-04-04,2019-04-04
6805,2007-05-01,2019-04-04,2019-04-04
6850,2007-06-01,2019-04-04,2019-04-04
6936,2007-07-01,2019-04-04,2019-04-04
6780,2007-08-01,2019-04-04,2019-04-04
6749,2007-09-01,2019-04-04,2019-04-04
6834,2007-10-01,2019-04-04,2019-04-04
6940,2007-11-01,2019-04-04,2019-04-04
6756,2007-12-01,2019-04-04,2019-04-04
6818,2008-01-01,2019-04-04,2019-04-04
6751,2008-02-01,2019-04-04,2019-04-04
6733,2008-03-01,2019-04-04,2019-04-04
6809,2008-04-01,2019-04-04,2019-04-04
6949,2008-05-01,2019-04-04,2019-04-04
6879,2008-06-01,2019-04-04,2019-04-04
6858,2008-07-01,2019-04-04,2019-04-04
6931,2008-08-01,2019-04-04,2019-04-04
6536,2008-09-01,2019-04-04,2019-04-04
6426,2008-10-01,2019-04-04,2019-04-04
6431,2008-11-01,2019-04-04,2019-04-04
6470,2008-12-01,2019-04-04,2019-04-04
6661,2009-01-01,2019-04-04,2019-04-04
6535,2009-02-01,2019-04-04,2019-04-04
6360,2009-03-01,2019-04-04,2019-04-04
6514,2009-04-01,2019-04-04,2019-04-04
6453,2009-05-01,2019-04-04,2019-04-04
6473,2009-06-01,2019-04-04,2019-04-04
6455,2009-07-01,2019-04-04,2019-04-04
6628,2009-08-01,2019-04-04,2019-04-04
6484,2009-09-01,2019-04-04,2019-04-04
6408,2009-10-01,2019-04-04,2019-04-04
6307,2009-11-01,2019-04-04,2019-04-04
6523,2009-12-01,2019-04-04,2019-04-04
6555,2010-01-01,2019-04-04,2019-04-04
6404,2010-02-01,2019-04-04,2019-04-04
6494,2010-03-01,2019-04-04,2019-04-04
6445,2010-04-01,2019-04-04,2019-04-04
6460,2010-05-01,2019-04-04,2019-04-04
6504,2010-06-01,2019-04-04,2019-04-04
6495,2010-07-01,2019-04-04,2019-04-04
6532,2010-08-01,2019-04-04,2019-04-04
6462,2010-09-01,2019-04-04,2019-04-04
6533,2010-10-01,2019-04-04,2019-04-04
6671,2010-11-01,2019-04-04,2019-04-04
6584,2010-12-01,2019-04-04,2019-04-04
6544,2011-01-01,2019-04-04,2019-04-04
6620,2011-02-01,2019-04-04,2019-04-04
6644,2011-03-01,2019-04-04,2019-04-04
6637,2011-04-01,2019-04-04,2019-04-04
6557,2011-05-01,2019-04-04,2019-04-04
6592,2011-06-01,2019-04-04,2019-04-04
6435,2011-07-01,2019-04-04,2019-04-04
6655,2011-08-01,2019-04-04,2019-04-04
6693,2011-09-01,2019-04-04,2019-04-04
6535,2011-10-01,2019-04-04,2019-04-04
6501,2011-11-01,2019-04-04,2019-04-04
6327,2011-12-01,2019-04-04,2019-04-04
6625,2012-01-01,2019-04-04,2019-04-04
6748,2012-02-01,2019-04-04,2019-04-04
6902,2012-03-01,2019-04-04,2019-04-04
6859,2012-04-01,2019-04-04,2019-04-04
6877,2012-05-01,2019-04-04,2019-04-04
6797,2012-06-01,2019-04-04,2019-04-04
6798,2012-07-01,2019-04-04,2019-04-04
6692,2012-08-01,2019-04-04,2019-04-04
6677,2012-09-01,2019-04-04,2019-04-04
6695,2012-10-01,2019-04-04,2019-04-04
6681,2012-11-01,2019-04-04,2019-04-04
6790,2012-12-01,2019-04-04,2019-04-04
7129,2013-01-01,2019-04-04,2019-04-04
7095,2013-02-01,2019-04-04,2019-04-04
6936,2013-03-01,2019-04-04,2019-04-04
6812,2013-04-01,2019-04-04,2019-04-04
6859,2013-05-01,2019-04-04,2019-04-04
6887,2013-06-01,2019-04-04,2019-04-04
6918,2013-07-01,2019-04-04,2019-04-04
6753,2013-08-01,2019-04-04,2019-04-04
6843,2013-09-01,2019-04-04,2019-04-04
6902,2013-10-01,2019-04-04,2019-04-04
6933,2013-11-01,2019-04-04,2019-04-04
6871,2013-12-01,2019-04-04,2019-04-04
6542,2014-01-01,2019-04-04,2019-04-04
6813,2014-02-01,2019-04-04,2019-04-04
6766,2014-03-01,2019-04-04,2019-04-04
6900,2014-04-01,2019-04-04,2019-04-04
6877,2014-05-01,2019-04-04,2019-04-04
6953,2014-06-01,2019-04-04,2019-04-04
6947,2014-07-01,2019-04-04,2019-04-04
7206,2014-08-01,2019-04-04,2019-04-04
7090,2014-09-01,2019-04-04,2019-04-04
7197,2014-10-01,2019-04-04,2019-04-04
7193,2014-11-01,2019-04-04,2019-04-04
7086,2014-12-01,2019-04-04,2019-04-04
6904,2015-01-01,2019-04-04,2019-04-04
6896,2015-02-01,2019-04-04,2019-04-04
7017,2015-03-01,2019-04-04,2019-04-04
7047,2015-04-01,2019-04-04,2019-04-04
7096,2015-05-01,2019-04-04,2019-04-04
7086,2015-06-01,2019-04-04,2019-04-04
7167,2015-07-01,2019-04-04,2019-04-04
7229,2015-08-01,2019-04-04,2019-04-04
7248,2015-09-01,2019-04-04,2019-04-04
7144,2015-10-01,2019-04-04,2019-04-04
7261,2015-11-01,2019-04-04,2019-04-04
7433,2015-12-01,2019-04-04,2019-04-04
7293,2016-01-01,2019-04-04,2019-04-04
7281,2016-02-01,2019-04-04,2019-04-04
7295,2016-03-01,2019-04-04,2019-04-04
7236,2016-04-01,2019-04-04,2019-04-04
7333,2016-05-01,2019-04-04,2019-04-04
7601,2016-06-01,2019-04-04,2019-04-04
7287,2016-07-01,2019-04-04,2019-04-04
7040,2016-08-01,2019-04-04,2019-04-04
7104,2016-09-01,2019-04-04,2019-04-04
7068,2016-10-01,2019-04-04,2019-04-04
6956,2016-11-01,2019-04-04,2019-04-04
6996,2016-12-01,2019-04-04,2019-04-04
7214,2017-01-01,2019-04-04,2019-04-04
7038,2017-02-01,2019-04-04,2019-04-04
6930,2017-03-01,2019-04-04,2019-04-04
7006,2017-04-01,2019-04-04,2019-04-04
