value,date,realtime_end,realtime_start
37008,2000-04-01,2019-04-04,2019-04-04
36717,2000-05-01,2019-04-04,2019-04-04
37175,2000-06-01,2019-04-04,2019-04-04
37038,2000-07-01,2019-04-04,2019-04-04
37110,2000-08-01,2019-04-04,2019-04-04
37308,2000-09-01,2019-04-04,2019-04-04
37476,2000-10-01,2019-04-04,2019-04-04
37700,2000-11-01,2019-04-04,2019-04-04
38033,2000-12-01,2019-04-04,2019-04-04
37903,2001-01-01,2019-04-04,2019-04-04
38252,2001-02-01,2019-04-04,2019-04-04
38133,2001-03-01,2019-04-04,2019-04-04
38369,2001-04-01,2019-04-04,2019-04-04
38439,2001-05-01,2019-04-04,2019-04-04
38569,2001-06-01,2019-04-04,2019-04-04
38506,2001-07-01,2019-04-04,2019-04-04
38738,2001-08-01,2019-04-04,2019-04-04
38832,2001-09-01,2019-04-04,2019-04-04
38944,2001-10-01,2019-04-04,2019-04-04
39161,2001-11-01,2019-04-04,2019-04-04
38996,2001-12-01,2019-04-04,2019-04-04
38833,2002-01-01,2019-04-04,2019-04-04
38885,2002-02-01,2019-04-04,2019-04-04
38913,2002-03-01,2019-04-04,2019-04-04
38568,2002-04-01,2019-04-04,2019-04-04
38713,2002-05-01,2019-04-04,2019-04-04
38723,2002-06-01,2019-04-04,2019-04-04
38834,2002-07-01,2019-04-04,2019-04-04
38647,2002-08-01,2019-04-04,2019-04-04
38599,2002-09-01,2019-04-04,2019-04-04
38693,2002-10-01,2019-04-04,2019-04-04
38886,2002-11-01,2019-04-04,2019-04-04
39072,2002-12-01,2019-04-04,2019-04-04
39412,2003-01-01,2019-04-04,2019-04-04
39285,2003-02-01,2019-04-04,2019-04-04
39318,2003-03-01,2019-04-04,2019-04-04
39441,2003-04-01,2019-04-04,2019-04-04
39019,2003-05-01,2019-04-04,2019-04-04
39480,2003-06-01,2019-04-04,2019-04-04
39808,2003-07-01,2019-04-04,2019-04-04
39833,2003-08-01,2019-04-04,2019-04-04
39878,2003-09-01,2019-04-04,2019-04-04
39776,2003-10-01,2019-04-04,2019-04-04
39631,2003-11-01,2019-04-04,2019-04-04
39809,2003-12-01,2019-04-04,2019-04-04
40443,2004-01-01,2019-04-04,2019-04-04
39922,2004-02-01,2019-04-04,2019-04-04
40419,2004-03-01,2019-04-04,2019-04-04
40399,2004-04-01,2019-04-04,2019-04-04
40635,2004-05-01,2019-04-04,2019-04-04
40608,2004-06-01,2019-04-04,2019-04-04
40631,2004-07-01,2019-04-04,2019-04-04
40771,2004-08-01,2019-04-04,2019-04-04
41045,2004-09-01,2019-04-04,2019-04-04
41177,2004-10-01,2019-04-04,2019-04-04
41404,2004-11-01,2019-04-04,2019-04-04
41534,2004-12-01,2019-04-04,2019-04-04
41691,2005-01-01,2019-04-04,2019-04-04
41757,2005-02-01,2019-04-04,2019-04-04
41800,2005-03-01,2019-04-04,2019-04-04
42283,2005-04-01,2019-04-04,2019-04-04
42081,2005-05-01,2019-04-04,2019-04-04
42363,2005-06-01,2019-04-04,2019-04-04
42184,2005-07-01,2019-04-04,2019-04-04
42542,2005-08-01,2019-04-04,2019-04-04
42845,2005-09-01,2019-04-04,2019-04-04
42842,2005-10-01,2019-04-04,2019-04-04
42823,2005-11-01,2019-04-04,2019-04-04
43191,2005-12-01,2019-04-04,2019-04-04
42681,2006-01-01,2019-04-04,2019-04-04
43379,2006-02-01,2019-04-04,2019-04-04
43233,2006-03-01,2019-04-04,2019-04-04
43269,2006-04-01,2019-04-04,2019-04-04
43654,2006-05-01,2019-04-04,2019-04-04
43782,2006-06-01,2019-04-04,2019-04-04
43827,2006-07-01,2019-04-04,2019-04-04
44160,2006-08-01,2019-04-04,2019-04-04
43846,2006-09-01,2019-04-04,2019-04-04
44542,2006-10-01,2019-04-04,2019-04-04
44572,2006-11-01,2019-04-04,2019-04-04
44730,2006-12-01,2019-04-04,2019-04-04
44856,2007-01-01,2019-04-04,2019-04-04
45274,2007-02-01,2019-04-04,2019-04-04
45271,2007-03-01,2019-04-04,2019-04-04
44988,2007-04-01,2019-04-04,2019-04-04
